#TYPE Selected.VMware.VimAutomation.ViCore.Impl.V1.VM.UniversalVirtualMachineImpl
"Name","NumCpu","MemoryGB","HardDiskSizeGB","Cluster"
"bo3wsilbapp002","8","8","100","BO3_VXR_Core_NonProd"
"bo3wpilbapp001","8","8","100","BO3_VXR_Core_Prod"
"bo3wsilbapp001","8","8","90","BO3_VXR_Core_NonProd"
"bo3wpilbapp002","8","8","90","BO3_VXR_Core_Prod"
"bo3wpilnwapp01","2","8","135","BO3_VXR_Core_Prod"
"bo3upmm3dweb02","2","4","60","BO3_VXR_Core_Prod"
"bo3upmm3dweb01","2","4","60","BO3_VXR_Core_Prod"
"bo3uplvxplapp01","2","4","130","BO3_VXR_Core_Prod"
"BO3WPLPEDBS001","8","16","180","BO3_VXR_Core_Prod"
"BO3WPLPEAPP001","8","16","170","BO3_VXR_Core_Prod"
"bo3uplvxplapp02","2","4","130","BO3_VXR_Core_Prod"
"bo3uppdtkweb02","2","4","60","BO3_VXR_Core_Prod"
"bo3uppdtkweb01","2","4","60","BO3_VXR_Core_Prod"
"bo3upkitmweb01","2","4","60","BO3_VXR_Core_Prod"
"bo3upkitmweb02","2","4","60","BO3_VXR_Core_Prod"
"BO3WSLPEDBS001","8","8","60","BO3_VXR_Core_NonProd"
"bo3udlcppapp01","2","4","130","BO3_VXR_Core_Prod"
"bo3uppdtkweb01","2","4","60","BO3_VXR_Core_Prod"
"bo3uppdtkweb02","2","4","60","BO3_VXR_Core_Prod"
"bo3upkitmweb02","2","4","60","BO3_VXR_Core_Prod"
"bo3upkitmweb01","2","4","60","BO3_VXR_Core_Prod"
"bo3wpsfpxweb010","4","8","132","BO3_VXR_Core_Prod"
"bo3wpsfpxweb011","4","8","127","BO3_VXR_Core_Prod"
"bo3wpsfpxweb012","4","8","137","BO3_VXR_Core_Prod"
"bo3wqsfpxaut001","2","8","175","BO3_VXR_Core_NonProd"
"bo3upmdaxapp01","4","10","70","BO3_VXR_Core_Prod"
"bo3upmdaxapp02","4","10","70","BO3_VXR_Core_Prod"
"bo3wqsfpxdes001","2","4","127","BO3_VXR_Core_NonProd"
"bo3wqsfpxdes002","2","4","100","BO3_VXR_Core_NonProd"
"bo3wqsfpxjob001","2","4","127","BO3_VXR_Core_NonProd"
